"70BCSV 	",
1527.64,-33.097
1527.66,-33.063
1527.68,-33.032
1527.7,-32.994
1527.72,-32.956
1527.74,-32.919
1527.76,-32.886
1527.78,-32.849
1527.8,-32.814
1527.82,-32.771
1527.84,-32.735
1527.86,-32.703
1527.88,-32.667
1527.9,-32.63
1527.92,-32.596
1527.94,-32.562
1527.96,-32.527
1527.98,-32.491
1528,-32.461
1528.02,-32.424
1528.04,-32.389
1528.06,-32.347
1528.08,-32.309
1528.1,-32.27
1528.12,-32.234
1528.14,-32.196
1528.16,-32.162
1528.18,-32.126
1528.2,-32.097
1528.22,-32.064
1528.24,-32.032
1528.26,-31.999
1528.28,-31.968
1528.3,-31.935
1528.32,-31.907
1528.34,-31.884
1528.36,-31.854
1528.38,-31.821
1528.4,-31.795
1528.42,-31.768
1528.44,-31.738
1528.46,-31.704
1528.48,-31.677
1528.5,-31.648
1528.52,-31.613
1528.54,-31.581
1528.56,-31.543
1528.58,-31.51
1528.6,-31.477
1528.62,-31.446
1528.64,-31.412
1528.66,-31.374
1528.68,-31.34
1528.7,-31.299
1528.72,-31.252
1528.74,-31.212
1528.76,-31.17
1528.78,-31.135
1528.8,-31.098
1528.82,-31.055
1528.84,-31.015
1528.86,-30.98
1528.88,-30.941
1528.9,-30.901
1528.92,-30.868
1528.94,-30.832
1528.96,-30.798
1528.98,-30.757
1529,-30.713
1529.02,-30.678
1529.04,-30.637
1529.06,-30.597
1529.08,-30.559
1529.1,-30.522
1529.12,-30.484
1529.14,-30.457
1529.16,-30.418
1529.18,-30.38
1529.2,-30.352
1529.22,-30.316
1529.24,-30.279
1529.26,-30.25
1529.28,-30.22
1529.3,-30.187
1529.32,-30.151
1529.34,-30.116
1529.36,-30.075
1529.38,-30.043
1529.4,-30.008
1529.42,-29.968
1529.44,-29.931
1529.46,-29.898
1529.48,-29.857
1529.5,-29.817
1529.52,-29.777
1529.54,-29.743
1529.56,-29.702
1529.58,-29.67
1529.6,-29.627
1529.62,-29.595
1529.64,-29.556
1529.66,-29.522
1529.68,-29.485
1529.7,-29.453
1529.72,-29.419
1529.74,-29.385
1529.76,-29.351
1529.78,-29.32
1529.8,-29.284
1529.82,-29.252
1529.84,-29.217
1529.86,-29.186
1529.88,-29.142
1529.9,-29.114
1529.92,-29.076
1529.94,-29.042
1529.96,-29.011
1529.98,-28.976
1530,-28.944
1530.02,-28.915
1530.04,-28.875
1530.06,-28.84
1530.08,-28.812
1530.1,-28.78
1530.12,-28.744
1530.14,-28.714
1530.16,-28.675
1530.18,-28.639
1530.2,-28.61
1530.22,-28.583
1530.24,-28.548
1530.26,-28.518
1530.28,-28.484
1530.3,-28.446
1530.32,-28.414
1530.34,-28.388
1530.36,-28.351
1530.38,-28.317
1530.4,-28.288
1530.42,-28.253
1530.44,-28.225
1530.46,-28.198
1530.48,-28.166
1530.5,-28.134
1530.52,-28.111
1530.54,-28.076
1530.56,-28.024
1530.58,-27.985
1530.6,-27.938
1530.62,-27.96
1530.64,-27.996
1530.66,-27.91
1530.68,-27.785
1530.7,-27.787
1530.72,-27.751
1530.74,-27.75
1530.76,-27.682
1530.78,-27.711
1530.8,-27.736
1530.82,-27.713
1530.84,-27.679
1530.86,-27.645
1530.88,-27.537
1530.9,-27.435
1530.92,-27.341
1530.94,-27.303
1530.96,-27.264
1530.98,-27.221
1531,-27.304
1531.02,-27.331
1531.04,-27.352
1531.06,-27.376
1531.08,-27.284
1531.1,-27.25
1531.12,-27.213
1531.14,-27.218
1531.16,-27.256
1531.18,-27.217
1531.2,-27.22
1531.22,-27.138
1531.24,-27.06
1531.26,-26.884
1531.28,-26.785
1531.3,-26.757
1531.32,-26.712
1531.34,-26.663
1531.36,-26.617
1531.38,-26.584
1531.4,-26.551
1531.42,-26.506
1531.44,-26.46
1531.46,-26.426
1531.48,-26.378
1531.5,-26.344
1531.52,-26.297
1531.54,-26.252
1531.56,-26.227
1531.58,-26.181
1531.6,-26.166
1531.62,-26.086
1531.64,-26.049
1531.66,-26.058
1531.68,-25.996
1531.7,-25.963
1531.72,-25.933
1531.74,-25.917
1531.76,-26.025
1531.78,-25.979
1531.8,-25.916
1531.82,-26.01
1531.84,-26.176
1531.86,-26.265
1531.88,-26.317
1531.9,-26.223
1531.92,-26.117
1531.94,-25.999
1531.96,-25.99
1531.98,-25.996
1532,-25.597
1532.02,-25.981
1532.04,-26.015
1532.06,-26.133
1532.08,-26.089
1532.1,-26.106
1532.12,-26.127
1532.14,-26.105
1532.16,-26.208
1532.18,-26.311
1532.2,-26.337
1532.22,-26.46
1532.24,-26.328
1532.26,-26.351
1532.28,-26.394
1532.3,-26.416
1532.32,-26.44
1532.34,-26.47
1532.36,-26.499
1532.38,-26.596
1532.4,-26.574
1532.42,-26.601
1532.44,-26.661
1532.46,-26.696
1532.48,-26.716
1532.5,-26.694
1532.52,-26.714
1532.54,-26.72
1532.56,-26.752
1532.58,-26.783
1532.6,-26.815
1532.62,-26.864
1532.64,-26.901
1532.66,-26.939
1532.68,-26.977
1532.7,-27.078
1532.72,-27.059
1532.74,-27.182
1532.76,-27.392
1532.78,-27.34
1532.8,-27.372
1532.82,-27.268
1532.84,-27.243
1532.86,-27.299
1532.88,-27.361
1532.9,-27.424
1532.92,-27.442
1532.94,-27.5
1532.96,-27.593
1532.98,-27.675
1533,-27.689
1533.02,-27.711
1533.04,-27.871
1533.06,-27.903
1533.08,-27.82
1533.1,-27.869
1533.12,-27.912
1533.14,-27.97
1533.16,-28.025
1533.18,-28.121
1533.2,-28.251
1533.22,-28.215
1533.24,-28.154
1533.26,-28.215
1533.28,-28.259
1533.3,-28.3
1533.32,-28.397
1533.34,-28.441
1533.36,-28.415
1533.38,-28.355
1533.4,-28.442
1533.42,-28.476
1533.44,-28.503
1533.46,-28.657
1533.48,-28.614
1533.5,-28.594
1533.52,-28.698
1533.54,-28.729
1533.56,-28.761
1533.58,-28.904
1533.6,-29.024
1533.62,-29.062
1533.64,-29.042
1533.66,-29.015
1533.68,-29.065
1533.7,-29.141
1533.72,-29.186
1533.74,-29.262
1533.76,-29.335
1533.78,-29.355
1533.8,-29.417
1533.82,-29.478
1533.84,-29.536
1533.86,-29.598
1533.88,-29.656
1533.9,-29.711
1533.92,-29.768
1533.94,-29.824
1533.96,-29.882
1533.98,-29.942
1534,-29.988
1534.02,-30.038
1534.04,-30.1
1534.06,-30.153
1534.08,-30.209
1534.1,-30.259
1534.12,-30.316
1534.14,-30.369
1534.16,-30.423
1534.18,-30.477
1534.2,-30.53
1534.22,-30.582
1534.24,-30.631
1534.26,-30.679
1534.28,-30.725
1534.3,-30.778
1534.32,-30.833
1534.34,-30.884
1534.36,-30.934
1534.38,-30.985
1534.4,-31.028
1534.42,-31.077
1534.44,-31.122
1534.46,-31.167
1534.48,-31.214
1534.5,-31.26
1534.52,-31.302
1534.54,-31.349
1534.56,-31.407
1534.58,-31.457
1534.6,-31.499
1534.62,-31.551
1534.64,-31.607
1534.66,-31.66
1534.68,-31.718
1534.7,-31.77
1534.72,-31.827
1534.74,-31.88
1534.76,-31.934
1534.78,-31.986
1534.8,-32.04
1534.82,-32.096
1534.84,-32.152
1534.86,-32.207
1534.88,-32.26
1534.9,-32.308
1534.92,-32.358
1534.94,-32.406
1534.96,-32.46
1534.98,-32.507
1535,-32.558
1535.02,-32.605
1535.04,-32.655
1535.06,-32.699
1535.08,-32.746
1535.1,-32.793
1535.12,-32.842
1535.14,-32.888
1535.16,-32.936
1535.18,-32.983
1535.2,-33.031
1535.22,-33.079
1535.24,-33.126
1535.26,-33.17
1535.28,-33.216
1535.3,-33.262
1535.32,-33.309
1535.34,-33.355
1535.36,-33.4
1535.38,-33.446
1535.4,-33.49
1535.42,-33.534
1535.44,-33.578
1535.46,-33.624
1535.48,-33.675
1535.5,-33.72
1535.52,-33.758
1535.54,-33.801
1535.56,-33.846
1535.58,-33.89
1535.6,-33.932
1535.62,-33.977
1535.64,-34.021
1535.66,-34.063
1535.68,-34.102
1535.7,-34.143
1535.72,-34.185
1535.74,-34.226
1535.76,-34.267
1535.78,-34.31
1535.8,-34.351
1535.82,-34.391
1535.84,-34.432
1535.86,-34.475
1535.88,-34.517
1535.9,-34.558
1535.92,-34.599
1535.94,-34.637
1535.96,-34.679
1535.98,-34.721
1536,-34.758
1536.02,-34.798
1536.04,-34.834
1536.06,-34.875
1536.08,-34.912
1536.1,-34.951
1536.12,-34.988
1536.14,-35.027
1536.16,-35.067
1536.18,-35.102
1536.2,-35.136
1536.22,-35.174
1536.24,-35.208
1536.26,-35.245
1536.28,-35.278
1536.3,-35.315
1536.32,-35.35
1536.34,-35.386
1536.36,-35.418
1536.38,-35.454
1536.4,-35.489
1536.42,-35.524
1536.44,-35.557
1536.46,-35.593
1536.48,-35.626
1536.5,-35.659
1536.52,-35.692
1536.54,-35.726
1536.56,-35.759
1536.58,-35.793
1536.6,-35.826
1536.62,-35.86
1536.64,-35.896
1536.66,-35.928
1536.68,-35.957
1536.7,-35.99
1536.72,-36.02
1536.74,-36.05
1536.76,-36.081
1536.78,-36.113
1536.8,-36.144
1536.82,-36.172
1536.84,-36.201
1536.86,-36.229
1536.88,-36.262
1536.9,-36.294
1536.92,-36.32
1536.94,-36.347
1536.96,-36.375
1536.98,-36.406
1537,-36.433
1537.02,-36.458
1537.04,-36.483
1537.06,-36.511
1537.08,-36.538
1537.1,-36.565
1537.12,-36.59
1537.14,-36.618
1537.16,-36.644
1537.18,-36.669
1537.2,-36.697
1537.22,-36.726
1537.24,-36.751
1537.26,-36.774
1537.28,-36.799
1537.3,-36.823
1537.32,-36.848
1537.34,-36.871
1537.36,-36.896
1537.38,-36.92
1537.4,-36.943
1537.42,-36.971
1537.44,-36.993
1537.46,-37.015
1537.48,-37.037
1537.5,-37.059
1537.52,-37.082
1537.54,-37.106
1537.56,-37.129
1537.58,-37.149
1537.6,-37.171
1537.62,-37.193
1537.64,-37.213
1537.66,-37.233
1537.68,-37.253
1537.7,-37.274
1537.72,-37.294
1537.74,-37.314
1537.76,-37.331
1537.78,-37.35
1537.8,-37.368
1537.82,-37.385
1537.84,-37.402
1537.86,-37.421
1537.88,-37.439
1537.9,-37.453
1537.92,-37.47
1537.94,-37.484
1537.96,-37.499
1537.98,-37.514
1538,-37.531
1538.02,-37.545
1538.04,-37.559
1538.06,-37.572
1538.08,-37.586
1538.1,-37.601
1538.12,-37.615
1538.14,-37.629
1538.16,-37.644
1538.18,-37.657
1538.2,-37.669
1538.22,-37.684
1538.24,-37.698
1538.26,-37.709
1538.28,-37.721
1538.3,-37.737
1538.32,-37.749
1538.34,-37.763
1538.36,-37.779
1538.38,-37.792
1538.4,-37.805
1538.42,-37.819
1538.44,-37.831
1538.46,-37.847
1538.48,-37.861
1538.5,-37.873
1538.52,-37.887
1538.54,-37.897
1538.56,-37.909
1538.58,-37.922
1538.6,-37.934
1538.62,-37.946
1538.64,-37.959
1538.66,-37.97
1538.68,-37.979
1538.7,-37.992
1538.72,-38.001
1538.74,-38.008
1538.76,-38.019
1538.78,-38.027
1538.8,-38.036
1538.82,-38.045
1538.84,-38.052
1538.86,-38.06
1538.88,-38.067
1538.9,-38.076
1538.92,-38.084
1538.94,-38.09
1538.96,-38.098
1538.98,-38.105
1539,-38.113
1539.02,-38.12
1539.04,-38.128
1539.06,-38.134
1539.08,-38.14
1539.1,-38.146
1539.12,-38.152
1539.14,-38.158
1539.16,-38.165
1539.18,-38.173
1539.2,-38.181
1539.22,-38.189
1539.24,-38.194
1539.26,-38.201
1539.28,-38.206
1539.3,-38.214
1539.32,-38.22
1539.34,-38.225
1539.36,-38.233
1539.38,-38.238
1539.4,-38.243
1539.42,-38.249
1539.44,-38.253
1539.46,-38.258
1539.48,-38.261
1539.5,-38.266
1539.52,-38.272
1539.54,-38.275
1539.56,-38.28
1539.58,-38.283
1539.6,-38.289
1539.62,-38.291
1539.64,-38.294
1539.66,-38.298
1539.68,-38.302
1539.7,-38.304
1539.72,-38.306
1539.74,-38.305
1539.76,-38.307
1539.78,-38.309
1539.8,-38.312
1539.82,-38.314
1539.84,-38.312
1539.86,-38.314
1539.88,-38.316
1539.9,-38.318
1539.92,-38.318
1539.94,-38.319
1539.96,-38.318
1539.98,-38.319
1540,-38.32
1540.02,-38.318
1540.04,-38.318
1540.06,-38.319
1540.08,-38.317
1540.1,-38.318
1540.12,-38.319
1540.14,-38.319
1540.16,-38.321
1540.18,-38.322
1540.2,-38.321
1540.22,-38.323
1540.24,-38.322
1540.26,-38.324
1540.28,-38.324
1540.3,-38.323
1540.32,-38.324
1540.34,-38.324
1540.36,-38.326
1540.38,-38.325
1540.4,-38.325
1540.42,-38.323
1540.44,-38.323
1540.46,-38.321
1540.48,-38.32
1540.5,-38.318
1540.52,-38.317
1540.54,-38.316
1540.56,-38.314
1540.58,-38.313
1540.6,-38.31
1540.62,-38.308
1540.64,-38.307
1540.66,-38.304
1540.68,-38.3
1540.7,-38.299
1540.72,-38.297
1540.74,-38.296
1540.76,-38.291
1540.78,-38.29
1540.8,-38.289
1540.82,-38.286
1540.84,-38.284
1540.86,-38.282
1540.88,-38.278
1540.9,-38.275
1540.92,-38.272
1540.94,-38.27
1540.96,-38.268
1540.98,-38.269
1541,-38.265
1541.02,-38.263
1541.04,-38.259
1541.06,-38.258
1541.08,-38.254
1541.1,-38.252
1541.12,-38.248
1541.14,-38.245
1541.16,-38.241
1541.18,-38.238
1541.2,-38.235
1541.22,-38.232
1541.24,-38.229
1541.26,-38.227
1541.28,-38.222
1541.3,-38.218
1541.32,-38.213
1541.34,-38.211
1541.36,-38.207
1541.38,-38.203
1541.4,-38.198
1541.42,-38.195
1541.44,-38.192
1541.46,-38.189
1541.48,-38.184
1541.5,-38.18
1541.52,-38.173
1541.54,-38.168
1541.56,-38.162
1541.58,-38.158
1541.6,-38.154
1541.62,-38.152
1541.64,-38.145
1541.66,-38.139
1541.68,-38.135
1541.7,-38.131
1541.72,-38.125
1541.74,-38.12
1541.76,-38.115
1541.78,-38.11
1541.8,-38.106
1541.82,-38.098
1541.84,-38.092
1541.86,-38.089
1541.88,-38.085
1541.9,-38.08
1541.92,-38.075
1541.94,-38.071
1541.96,-38.07
1541.98,-38.065
1542,-38.063
1542.02,-38.06
1542.04,-38.053
1542.06,-38.048
1542.08,-38.046
1542.1,-38.044
1542.12,-38.041
1542.14,-38.035
1542.16,-38.032
1542.18,-38.031
1542.2,-38.025
1542.22,-38.021
1542.24,-38.016
1542.26,-38.014
1542.28,-38.012
1542.3,-38.005
1542.32,-37.999
1542.34,-37.994
1542.36,-37.99
1542.38,-37.986
1542.4,-37.984
1542.42,-37.978
1542.44,-37.974
1542.46,-37.967
1542.48,-37.963
1542.5,-37.956
1542.52,-37.951
1542.54,-37.948
1542.56,-37.942
1542.58,-37.938
1542.6,-37.933
1542.62,-37.929
1542.64,-37.925
1542.66,-37.92
1542.68,-37.916
1542.7,-37.912
1542.72,-37.906
1542.74,-37.901
1542.76,-37.898
1542.78,-37.895
1542.8,-37.888
1542.82,-37.883
1542.84,-37.879
1542.86,-37.877
1542.88,-37.873
1542.9,-37.87
1542.92,-37.866
1542.94,-37.862
1542.96,-37.859
1542.98,-37.857
1543,-37.855
1543.02,-37.854
1543.04,-37.849
1543.06,-37.846
1543.08,-37.844
1543.1,-37.839
1543.12,-37.835
1543.14,-37.833
1543.16,-37.828
1543.18,-37.826
1543.2,-37.823
1543.22,-37.819
1543.24,-37.817
1543.26,-37.814
1543.28,-37.809
1543.3,-37.804
1543.32,-37.799
1543.34,-37.797
1543.36,-37.793
1543.38,-37.788
1543.4,-37.786
1543.42,-37.779
1543.44,-37.777
1543.46,-37.772
1543.48,-37.768
1543.5,-37.764
1543.52,-37.76
1543.54,-37.757
1543.56,-37.752
1543.58,-37.748
1543.6,-37.742
1543.62,-37.738
1543.64,-37.732
1543.66,-37.727
1543.68,-37.726
1543.7,-37.723
1543.72,-37.716
1543.74,-37.713
1543.76,-37.709
1543.78,-37.708
1543.8,-37.704
1543.82,-37.7
1543.84,-37.698
1543.86,-37.693
1543.88,-37.689
1543.9,-37.687
1543.92,-37.686
1543.94,-37.684
1543.96,-37.682
1543.98,-37.679
1544,-37.677
1544.02,-37.674
1544.04,-37.674
1544.06,-37.671
1544.08,-37.669
1544.1,-37.667
1544.12,-37.665
1544.14,-37.665
1544.16,-37.662
1544.18,-37.661
1544.2,-37.659
1544.22,-37.658
1544.24,-37.654
1544.26,-37.653
1544.28,-37.651
1544.3,-37.648
1544.32,-37.644
1544.34,-37.643
1544.36,-37.642
1544.38,-37.642
1544.4,-37.64
1544.42,-37.64
1544.44,-37.638
1544.46,-37.636
1544.48,-37.635
1544.5,-37.633
1544.52,-37.63
1544.54,-37.627
1544.56,-37.626
1544.58,-37.623
1544.6,-37.621
1544.62,-37.618
1544.64,-37.615
1544.66,-37.613
1544.68,-37.611
1544.7,-37.611
1544.72,-37.61
1544.74,-37.608
1544.76,-37.605
1544.78,-37.603
1544.8,-37.602
1544.82,-37.6
1544.84,-37.6
1544.86,-37.597
1544.88,-37.594
1544.9,-37.592
1544.92,-37.59
1544.94,-37.588
1544.96,-37.584
1544.98,-37.584
1545,-37.58
1545.02,-37.578
1545.04,-37.576
1545.06,-37.573
1545.08,-37.57
1545.1,-37.567
1545.12,-37.565
1545.14,-37.563
1545.16,-37.563
1545.18,-37.557
1545.2,-37.555
1545.22,-37.557
1545.24,-37.552
1545.26,-37.55
1545.28,-37.547
1545.3,-37.548
1545.32,-37.547
1545.34,-37.546
1545.36,-37.546
1545.38,-37.546
1545.4,-37.545
1545.42,-37.546
1545.44,-37.545
1545.46,-37.549
1545.48,-37.546
1545.5,-37.546
1545.52,-37.548
1545.54,-37.547
1545.56,-37.548
1545.58,-37.55
1545.6,-37.552
1545.62,-37.552
1545.64,-37.554
1545.66,-37.556
1545.68,-37.559
1545.7,-37.559
1545.72,-37.561
1545.74,-37.565
1545.76,-37.569
1545.78,-37.57
1545.8,-37.572
1545.82,-37.574
1545.84,-37.575
1545.86,-37.578
1545.88,-37.581
1545.9,-37.583
1545.92,-37.585
1545.94,-37.587
1545.96,-37.589
1545.98,-37.591
1546,-37.592
1546.02,-37.592
1546.04,-37.59
1546.06,-37.591
1546.08,-37.592
1546.1,-37.596
1546.12,-37.6
1546.14,-37.599
1546.16,-37.6
1546.18,-37.601
1546.2,-37.604
1546.22,-37.605
1546.24,-37.606
1546.26,-37.607
1546.28,-37.605
1546.3,-37.607
1546.32,-37.608
1546.34,-37.607
1546.36,-37.608
1546.38,-37.608
1546.4,-37.61
1546.42,-37.607
1546.44,-37.608
1546.46,-37.61
1546.48,-37.614
1546.5,-37.614
1546.52,-37.619
1546.54,-37.622
1546.56,-37.625
1546.58,-37.629
1546.6,-37.63
1546.62,-37.634
1546.64,-37.639
1546.66,-37.642
1546.68,-37.646
1546.7,-37.648
1546.72,-37.651
1546.74,-37.654
1546.76,-37.657
1546.78,-37.659
1546.8,-37.663
1546.82,-37.666
1546.84,-37.669
1546.86,-37.671
1546.88,-37.674
1546.9,-37.677
1546.92,-37.682
1546.94,-37.683
1546.96,-37.684
1546.98,-37.686
1547,-37.689
1547.02,-37.691
1547.04,-37.693
1547.06,-37.695
1547.08,-37.696
1547.1,-37.697
1547.12,-37.7
1547.14,-37.7
1547.16,-37.703
1547.18,-37.703
1547.2,-37.706
1547.22,-37.709
1547.24,-37.709
1547.26,-37.712
1547.28,-37.715
1547.3,-37.718
1547.32,-37.721
1547.34,-37.722
1547.36,-37.725
1547.38,-37.728
1547.4,-37.729
1547.42,-37.733
1547.44,-37.735
1547.46,-37.735
1547.48,-37.739
1547.5,-37.741
1547.52,-37.744
1547.54,-37.747
1547.56,-37.751
1547.58,-37.754
1547.6,-37.757
1547.62,-37.759
1547.64,-37.762
1547.66,-37.764
1547.68,-37.767
1547.7,-37.771
1547.72,-37.773
1547.74,-37.776
1547.76,-37.778
1547.78,-37.781
1547.8,-37.784
1547.82,-37.787
1547.84,-37.787
1547.86,-37.79
1547.88,-37.79
1547.9,-37.792
1547.92,-37.795
1547.94,-37.798
1547.96,-37.798
1547.98,-37.801
1548,-37.803
1548.02,-37.805
1548.04,-37.806
1548.06,-37.807
1548.08,-37.81
1548.1,-37.811
1548.12,-37.814
1548.14,-37.812
1548.16,-37.816
1548.18,-37.817
1548.2,-37.821
1548.22,-37.822
1548.24,-37.824
1548.26,-37.826
1548.28,-37.83
1548.3,-37.834
1548.32,-37.836
1548.34,-37.839
1548.36,-37.839
1548.38,-37.841
1548.4,-37.843
1548.42,-37.845
1548.44,-37.846
1548.46,-37.847
1548.48,-37.849
1548.5,-37.851
1548.52,-37.855
1548.54,-37.859
1548.56,-37.862
1548.58,-37.863
1548.6,-37.865
1548.62,-37.868
1548.64,-37.871
1548.66,-37.874
1548.68,-37.877
1548.7,-37.879
1548.72,-37.884
1548.74,-37.884
1548.76,-37.886
1548.78,-37.891
1548.8,-37.896
1548.82,-37.9
1548.84,-37.905
1548.86,-37.908
1548.88,-37.913
1548.9,-37.917
1548.92,-37.921
1548.94,-37.926
1548.96,-37.93
1548.98,-37.934
1549,-37.936
1549.02,-37.941
1549.04,-37.943
1549.06,-37.946
1549.08,-37.949
1549.1,-37.954
1549.12,-37.955
1549.14,-37.958
1549.16,-37.963
1549.18,-37.966
1549.2,-37.97
1549.22,-37.972
1549.24,-37.976
1549.26,-37.978
1549.28,-37.982
1549.3,-37.986
1549.32,-37.99
1549.34,-37.993
1549.36,-37.995
1549.38,-37.998
1549.4,-38
1549.42,-38.001
1549.44,-38.004
1549.46,-38.007
1549.48,-38.009
1549.5,-38.011
1549.52,-38.014
1549.54,-38.016
1549.56,-38.019
1549.58,-38.021
1549.6,-38.023
1549.62,-38.024
1549.64,-38.024
1549.66,-38.025
1549.68,-38.026
1549.7,-38.026
1549.72,-38.029
1549.74,-38.03
1549.76,-38.031
1549.78,-38.032
1549.8,-38.033
1549.82,-38.034
1549.84,-38.036
1549.86,-38.037
1549.88,-38.039
1549.9,-38.039
1549.92,-38.042
1549.94,-38.04
1549.96,-38.043
1549.98,-38.043
1550,-38.045
1550.02,-38.047
1550.04,-38.048
1550.06,-38.052
1550.08,-38.055
1550.1,-38.057
1550.12,-38.061
1550.14,-38.063
1550.16,-38.064
1550.18,-38.067
1550.2,-38.071
1550.22,-38.074
1550.24,-38.076
1550.26,-38.081
1550.28,-38.083
1550.3,-38.086
1550.32,-38.089
1550.34,-38.093
1550.36,-38.095
1550.38,-38.098
1550.4,-38.103
1550.42,-38.103
1550.44,-38.106
1550.46,-38.108
1550.48,-38.11
1550.5,-38.114
1550.52,-38.117
1550.54,-38.117
1550.56,-38.119
1550.58,-38.121
1550.6,-38.126
1550.62,-38.128
1550.64,-38.131
1550.66,-38.13
1550.68,-38.132
1550.7,-38.136
1550.72,-38.137
1550.74,-38.14
1550.76,-38.143
1550.78,-38.147
1550.8,-38.148
1550.82,-38.151
1550.84,-38.152
1550.86,-38.153
1550.88,-38.157
1550.9,-38.159
1550.92,-38.161
1550.94,-38.164
1550.96,-38.165
1550.98,-38.168
1551,-38.172
1551.02,-38.173
1551.04,-38.177
1551.06,-38.18
1551.08,-38.182
1551.1,-38.185
1551.12,-38.187
1551.14,-38.191
1551.16,-38.197
1551.18,-38.2
1551.2,-38.203
1551.22,-38.208
1551.24,-38.212
1551.26,-38.214
1551.28,-38.218
1551.3,-38.22
1551.32,-38.224
1551.34,-38.23
1551.36,-38.23
1551.38,-38.233
1551.4,-38.236
1551.42,-38.238
1551.44,-38.238
1551.46,-38.241
1551.48,-38.243
1551.5,-38.245
1551.52,-38.246
1551.54,-38.247
1551.56,-38.248
1551.58,-38.252
1551.6,-38.255
1551.62,-38.256
1551.64,-38.256
1551.66,-38.255
1551.68,-38.261
1551.7,-38.263
1551.72,-38.264
1551.74,-38.267
1551.76,-38.269
1551.78,-38.27
1551.8,-38.271
1551.82,-38.27
1551.84,-38.273
1551.86,-38.276
1551.88,-38.28
1551.9,-38.282
1551.92,-38.283
1551.94,-38.283
1551.96,-38.285
1551.98,-38.287
1552,-38.291
1552.02,-38.293
1552.04,-38.295
1552.06,-38.3
1552.08,-38.303
1552.1,-38.302
1552.12,-38.306
1552.14,-38.308
1552.16,-38.309
1552.18,-38.312
1552.2,-38.312
1552.22,-38.313
1552.24,-38.315
1552.26,-38.318
1552.28,-38.32
1552.3,-38.321
1552.32,-38.323
1552.34,-38.325
1552.36,-38.327
1552.38,-38.33
1552.4,-38.33
1552.42,-38.331
1552.44,-38.332
1552.46,-38.333
1552.48,-38.334
1552.5,-38.334
1552.52,-38.336
1552.54,-38.337
1552.56,-38.34
1552.58,-38.34
1552.6,-38.342
1552.62,-38.342
1552.64,-38.344
1552.66,-38.342
1552.68,-38.345
1552.7,-38.345
1552.72,-38.345
1552.74,-38.348
1552.76,-38.35
1552.78,-38.352
1552.8,-38.351
1552.82,-38.352
1552.84,-38.353
1552.86,-38.352
1552.88,-38.352
1552.9,-38.355
1552.92,-38.356
1552.94,-38.356
1552.96,-38.357
1552.98,-38.357
1553,-38.36
1553.02,-38.36
1553.04,-38.36
1553.06,-38.362
1553.08,-38.364
1553.1,-38.362
1553.12,-38.365
1553.14,-38.365
1553.16,-38.363
1553.18,-38.363
1553.2,-38.365
1553.22,-38.364
1553.24,-38.364
1553.26,-38.363
1553.28,-38.362
1553.3,-38.362
1553.32,-38.361
1553.34,-38.362
1553.36,-38.363
1553.38,-38.365
1553.4,-38.363
1553.42,-38.363
1553.44,-38.365
1553.46,-38.366
1553.48,-38.366
1553.5,-38.367
1553.52,-38.367
1553.54,-38.366
1553.56,-38.365
1553.58,-38.365
1553.6,-38.367
1553.62,-38.37
1553.64,-38.37
1553.66,-38.371
1553.68,-38.373
1553.7,-38.375
1553.72,-38.376
1553.74,-38.376
1553.76,-38.378
1553.78,-38.381
1553.8,-38.383
1553.82,-38.383
1553.84,-38.384
1553.86,-38.386
1553.88,-38.389
1553.9,-38.395
1553.92,-38.394
1553.94,-38.397
1553.96,-38.393
1553.98,-38.392
1554,-38.392
1554.02,-38.394
1554.04,-38.394
1554.06,-38.396
1554.08,-38.398
1554.1,-38.398
1554.12,-38.402
1554.14,-38.402
1554.16,-38.402
1554.18,-38.404
1554.2,-38.402
1554.22,-38.403
1554.24,-38.405
1554.26,-38.407
1554.28,-38.408
1554.3,-38.408
1554.32,-38.411
1554.34,-38.411
1554.36,-38.41
1554.38,-38.411
1554.4,-38.413
1554.42,-38.411
1554.44,-38.412
1554.46,-38.414
1554.48,-38.415
1554.5,-38.417
1554.52,-38.418
1554.54,-38.418
1554.56,-38.419
1554.58,-38.421
1554.6,-38.42
1554.62,-38.421
1554.64,-38.422
1554.66,-38.422
1554.68,-38.423
1554.7,-38.424
1554.72,-38.429
1554.74,-38.428
1554.76,-38.431
1554.78,-38.433
1554.8,-38.432
1554.82,-38.436
1554.84,-38.439
1554.86,-38.438
1554.88,-38.441
1554.9,-38.441
1554.92,-38.444
1554.94,-38.446
1554.96,-38.448
1554.98,-38.449
1555,-38.45
1555.02,-38.452
1555.04,-38.451
1555.06,-38.453
1555.08,-38.451
1555.1,-38.451
1555.12,-38.452
1555.14,-38.452
1555.16,-38.455
1555.18,-38.455
1555.2,-38.457
1555.22,-38.456
1555.24,-38.457
1555.26,-38.458
1555.28,-38.459
1555.3,-38.458
1555.32,-38.46
1555.34,-38.46
1555.36,-38.459
1555.38,-38.461
1555.4,-38.461
1555.42,-38.46
1555.44,-38.463
1555.46,-38.463
1555.48,-38.463
1555.5,-38.466
1555.52,-38.468
1555.54,-38.47
1555.56,-38.471
1555.58,-38.473
1555.6,-38.476
1555.62,-38.478
1555.64,-38.479
1555.66,-38.482
1555.68,-38.484
1555.7,-38.485
